TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,bronze,crm_sales_details,sls_quantity,8,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,bronze,crm_sales_details,sls_price,9,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,erp_loc_a101,BASE TABLE,DataWarehouse,bronze,erp_loc_a101,cid,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_loc_a101,BASE TABLE,DataWarehouse,bronze,erp_loc_a101,cntry,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_cust_az12,BASE TABLE,DataWarehouse,bronze,erp_cust_az12,cid,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_cust_az12,BASE TABLE,DataWarehouse,bronze,erp_cust_az12,bdate,2,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,erp_cust_az12,BASE TABLE,DataWarehouse,bronze,erp_cust_az12,gen,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_px_cat_g1v2,BASE TABLE,DataWarehouse,bronze,erp_px_cat_g1v2,id,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_px_cat_g1v2,BASE TABLE,DataWarehouse,bronze,erp_px_cat_g1v2,cat,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_px_cat_g1v2,BASE TABLE,DataWarehouse,bronze,erp_px_cat_g1v2,subcat,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_px_cat_g1v2,BASE TABLE,DataWarehouse,bronze,erp_px_cat_g1v2,maintenance,4,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_cust_info,BASE TABLE,DataWarehouse,silver,crm_cust_info,cst_id,1,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_cust_info,BASE TABLE,DataWarehouse,silver,crm_cust_info,cst_key,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_cust_info,BASE TABLE,DataWarehouse,silver,crm_cust_info,cst_firstname,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_cust_info,BASE TABLE,DataWarehouse,silver,crm_cust_info,cst_lastname,4,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_cust_info,BASE TABLE,DataWarehouse,silver,crm_cust_info,cst_marital_status,5,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_cust_info,BASE TABLE,DataWarehouse,silver,crm_cust_info,cst_gndr,6,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_cust_info,BASE TABLE,DataWarehouse,silver,crm_cust_info,cst_create_date,7,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_cust_info,BASE TABLE,DataWarehouse,silver,crm_cust_info,dwh_create_date,8,(getdate()),YES,datetime2,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_prd_info,BASE TABLE,DataWarehouse,silver,crm_prd_info,prd_id,1,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_prd_info,BASE TABLE,DataWarehouse,silver,crm_prd_info,cat_id,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_prd_info,BASE TABLE,DataWarehouse,silver,crm_prd_info,prd_key,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_prd_info,BASE TABLE,DataWarehouse,silver,crm_prd_info,prd_nm,4,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_prd_info,BASE TABLE,DataWarehouse,silver,crm_prd_info,prd_cost,5,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_prd_info,BASE TABLE,DataWarehouse,silver,crm_prd_info,prd_line,6,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_prd_info,BASE TABLE,DataWarehouse,silver,crm_prd_info,prd_start_dt,7,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_prd_info,BASE TABLE,DataWarehouse,silver,crm_prd_info,prd_end_dt,8,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_prd_info,BASE TABLE,DataWarehouse,silver,crm_prd_info,dwh_create_date,9,(getdate()),YES,datetime2,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,silver,crm_sales_details,sls_ord_num,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,silver,crm_sales_details,sls_prd_key,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,silver,crm_sales_details,sls_cust_id,3,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,silver,crm_sales_details,sls_order_dt,4,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,silver,crm_sales_details,sls_ship_dt,5,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,silver,crm_sales_details,sls_due_dt,6,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,silver,crm_sales_details,sls_sales,7,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,silver,crm_sales_details,sls_quantity,8,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,silver,crm_sales_details,sls_price,9,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,crm_sales_details,BASE TABLE,DataWarehouse,silver,crm_sales_details,dwh_create_date,10,(getdate()),YES,datetime2,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,erp_loc_a101,BASE TABLE,DataWarehouse,silver,erp_loc_a101,cid,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_loc_a101,BASE TABLE,DataWarehouse,silver,erp_loc_a101,cntry,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
